,Clean Ingredients
0,"['prawn', 'egg', 'butter', 'onion', 'haddock fillet', 'milk', 'plain flour', 'nutmeg', 'bay leaf', 'parsley', 'potato']"
1,"['double cream', 'white chocolate', 'caster sugar']"
2,"['prawn', 'white wine vinegar', 'red chilli', 'soy sauce', 'chicken stock', 'caster sugar', 'ginger', 'spring onion']"
3,"['ground almond', 'walnut', 'baking powder', 'coconut oil', 'milk', 'date', 'banana', 'flour', 'muscovado sugar']"
4,"['chilli', 'jasmine rice', 'garlic clove', 'coconut cream', 'fish sauce', 'red chilli', 'lime', 'sugar', 'lemongrass', 'green bean', 'shallot', 'skinless chicken breast', 'mint leaf', 'basil', 'ginger']"
5,"['ground coriander', 'garlic clove', 'ground cinnamon', 'onion', 'red chilli', 'pear', 'allspice', 'caster sugar', 'ginger', 'cider vinegar', 'dried cranberry']"
6,"['egg', 'icing sugar', 'butter', 'plain chocolate', 'caster sugar', 'coffee bean', 'flour', 'espresso']"
7,"['olive oil', 'strong white bread flour', 'dried yeast', 'water', 'salt']"
8,"['syrup', 'lychee', 'caster sugar', 'ginger', 'egg white']"
9,"['garlic clove', 'olive oil', 'pesto', 'carrot', 'onion', 'crusty bread', 'celery', 'pancetta', 'orzo', 'chicken stock', 'broad bean', 'cabbage', 'bay leaf', 'pasta']"
10,"['dark chocolate', 'double cream', 'maraschino cherry', 'vanilla ice cream', 'mango', 'raspberry', 'cake']"
11,"['olive oil', 'garlic clove', 'mozzarella', 'kale', 'strong white bread flour', 'parmesan', 'chorizo', 'dried yeast', 'semolina']"
12,"['butter', 'sugar', 'sultana', 'flour', 'ground ginger', 'toffee', 'apple', 'ground cinnamon', 'golden syrup', 'vegetable oil', 'water', 'vanilla pod', 'cream cheese', 'greek yogurt', 'ground almond', 'lemon', 'egg', 'white chocolate', 'bicarbonate of soda', 'cinnamon', 'caster sugar', 'rolled oat', 'brandy']"
13,"['egg', 'icing sugar', 'butter', 'baking powder', 'dark chocolate', 'peppermint extract', 'plain flour', 'milk', 'caster sugar', 'cocoa powder', 'vanilla extract']"
14,"['cheddar', 'ground nutmeg', 'macaroni', 'pumpkin seed', 'bean', 'milk', 'green bean', 'rapeseed oil', 'wholemeal', 'salad']"
15,"['egg', 'garlic clove', 'spinach', 'mozzarella', 'ground nutmeg', 'ricotta', 'basil', 'pork', 'passata', 'pancake']"
16,"['garlic clove', 'spaghetti', 'avocado', 'parmesan', 'lemon', 'basil', 'blanched almond']"
17,"['olive oil', 'mint', 'cucumber', 'watermelon']"
18,"['garlic clove', 'garam masala', 'naan', 'butter', 'cheese', 'baby spinach']"
19,"['oregano', 'olive oil', 'garlic clove', 'egg', 'mozzarella', 'baby spinach', 'parmesan', 'dried yeast', 'milk', 'caster sugar', 'tomato', 'dried oregano', 'bread flour']"
20,"['egg', 'quail egg', 'smoked paprika', 'sunflower oil', 'vinegar', 'chorizo', 'plain flour', 'mayonnaise', 'parsley', 'bread', 'blanched almond']"
21,"['garlic clove', 'olive oil', 'egg', 'butter', 'baguette', 'white onion', 'parsley', 'tomato', 'potato']"
